Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frank Mir,5Dimes,1263223819000,-185,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263303019000,-170,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263468628000,-165,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263488429000,-155,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263556823000,-150,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263566723000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263766524000,-130,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1263822311000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1264234534000,-130,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1264671914000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1265279415000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1266748217000,-145,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1267138836000,-150,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269235821000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269248413000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269281726000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269348315000,-130,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269370831000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269453638000,-150,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269686759000,-145,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,5Dimes,1269737138000,-150,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1263519043000,-147,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1263537927000,-145,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1263584736000,-142,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1263830417000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1264127435000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1264213831000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1264974342000,-135,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1266889527000,-138,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1267153223000,-140,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1269234022000,-125,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
Frank Mir,BookMaker,1269234923000,-128,Frank Mir,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
