Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1291799423000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1291825223000,+155,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1291858224000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1291881624000,+150,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1292754023000,+155,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1293008723000,+150,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1294227324000,+155,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1294422326000,+150,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1294726203000,+155,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1295037305000,+150,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1295761505000,+160,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1297152003000,+165,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1297207206000,+160,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1297380602000,+168,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1297657233000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298445903000,+175,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298580910000,+180,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298616603000,+185,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298664908000,+180,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298715913000,+185,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298739905000,+188,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298748005000,+185,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298756105000,+177,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,5Dimes,1298782805000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291771827000,-105,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291772727000,+110,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291773028000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291778436000,+142,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291786232000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1291830029000,+145,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1297139708000,+165,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1297793762000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298700012000,+165,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298708412000,+175,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298749511000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298753111000,+167,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298755211000,+165,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298763620000,+163,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298766612000,+160,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298772012000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298775008000,+175,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298777411000,+170,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,BookMaker,1298781626000,+165,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,SportBet,1291799460000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,SportBet,1291825244000,+155,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
B.J. Penn,SportBet,1291858239000,+140,B.J. Penn,Jon Fitch,even,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
