Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1297111203000,-225,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297113304000,-245,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297152303000,-225,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297193704000,-230,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297224908000,-225,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297356603000,-210,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297467011000,-225,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1297849504000,-210,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1298200204000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1298929803000,-210,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299024903000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299063303000,-190,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299317704000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299356703000,-210,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299361203000,-190,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299362405000,-185,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299374403000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299388504000,-210,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299388804000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299681303000,-190,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299752703000,-200,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299773105000,-190,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1299801004000,-185,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300371005000,-178,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300471206000,-185,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300471505000,-180,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300488003000,-173,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300509003000,-170,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300509604000,-173,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300551903000,-170,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
Jon Jones,5Dimes,1300555806000,-174,Jon Jones,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
