Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rashad Evans,5Dimes,1310656203000,-450,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1310822704000,-420,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1311027603000,-410,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312362303000,-425,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312378502000,-440,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312552804000,-420,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312610703000,-410,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312654503000,-405,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312654803000,-410,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312657203000,-395,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312675504000,-375,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312680903000,-360,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,5Dimes,1312684203000,-375,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1310616017000,-450,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1310664007000,-425,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1310665208000,-435,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1310841007000,-430,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1311135307000,-420,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1312047008000,-430,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1312228508000,-450,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1312609211000,-440,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1312660510000,-435,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,BookMaker,1312683010000,-420,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1310656230000,-432,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1310822747000,-407,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1311027630000,-398,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312362326000,-412,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312378525000,-427,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312552830000,-437,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312610728000,-427,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312654524000,-417,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312665328000,-407,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312675536000,-380,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312680931000,-361,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,SportBet,1312684227000,-380,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Bovada,1310667907000,-400,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Sportsbook,1310668816000,-500,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Sportsbook,1311167719000,-450,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Sportsbook,1311621014000,-500,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Pinnacle,1310653522000,-376,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Rashad Evans,Pinnacle,1310653819000,-450,Rashad Evans,Tito Ortiz,even,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
