Bet,betsite,dates,odds,fighter1,fighter2,class,url
Nicolae Cury,5Dimes,1344033004000,-310,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,5Dimes,1344048003000,-280,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,5Dimes,1344048903000,-380,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,5Dimes,1344050105000,-400,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,5Dimes,1344050703000,-350,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,BookMaker,1344028511000,-305,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,BookMaker,1344044137000,-325,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,BookMaker,1344050408000,-345,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,BookMaker,1344051009000,-355,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,SportBet,1344033035000,-298,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,SportBet,1344048027000,-268,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,SportBet,1344048926000,-362,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,SportBet,1344050129000,-382,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Nicolae Cury,SportBet,1344050727000,-335,Nicolae Cury,Roger Carroll,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,5Dimes,1344033004000,+230,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,5Dimes,1344048003000,+200,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,5Dimes,1344048903000,+260,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,5Dimes,1344050105000,+280,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,5Dimes,1344050703000,+250,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,BookMaker,1344028511000,+225,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,BookMaker,1344044137000,+255,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,BookMaker,1344050408000,+265,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,BookMaker,1344051009000,+275,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,SportBet,1344033035000,+242,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,SportBet,1344048027000,+212,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,SportBet,1344048926000,+278,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,SportBet,1344050129000,+298,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Roger Carroll,SportBet,1344050727000,+265,Nicolae Cury,Roger Carroll,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Johnny Buck,5Dimes,1344033303000,+250,Johnny Buck,Ricky Rainey,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Johnny Buck,BookMaker,1344028511000,+245,Johnny Buck,Ricky Rainey,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Johnny Buck,SportBet,1344033035000,+265,Johnny Buck,Ricky Rainey,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Ricky Rainey,5Dimes,1344033303000,-350,Johnny Buck,Ricky Rainey,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Ricky Rainey,BookMaker,1344028511000,-325,Johnny Buck,Ricky Rainey,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Ricky Rainey,SportBet,1344033035000,-335,Johnny Buck,Ricky Rainey,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Joe Elmore,5Dimes,1344033004000,+160,Joe Elmore,Kevin Forant,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Joe Elmore,5Dimes,1344044702000,+140,Joe Elmore,Kevin Forant,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Joe Elmore,BookMaker,1344028511000,+155,Joe Elmore,Kevin Forant,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Joe Elmore,SportBet,1344033035000,+167,Joe Elmore,Kevin Forant,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Joe Elmore,SportBet,1344044731000,+146,Joe Elmore,Kevin Forant,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Kevin Forant,5Dimes,1344033004000,-210,Joe Elmore,Kevin Forant,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Kevin Forant,5Dimes,1344044702000,-180,Joe Elmore,Kevin Forant,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Kevin Forant,BookMaker,1344028511000,-205,Joe Elmore,Kevin Forant,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Kevin Forant,SportBet,1344033035000,-203,Joe Elmore,Kevin Forant,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Kevin Forant,SportBet,1344044731000,-174,Joe Elmore,Kevin Forant,odd,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Felice Herrig,5Dimes,1344033004000,-530,Felice Herrig,Simona Soukupova,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
Felice Herrig,5Dimes,1344033303000,-600,Felice Herrig,Simona Soukupova,even,https://www.bestfightodds.com/search?query=UFC%2014%3A%20Showdown
