Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cain Velasquez,5Dimes,1371591192000,-210,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1371592989000,-260,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1372192392000,-250,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1372803911000,-215,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1373338626000,-195,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1373403608000,-205,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1373409549000,-215,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1375721655000,-225,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1377530107000,-230,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1379774002000,-240,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1380405071000,-230,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1381861817000,-210,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1381865231000,-200,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1382124617000,-190,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1382129830000,-190,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1382137930000,-185,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
Cain Velasquez,5Dimes,1382202732000,-188,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
