Bet,betsite,dates,odds,fighter1,fighter2,class,url
Ronda Rousey,5Dimes,1388779574000,-705,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1388779751000,-530,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1388779930000,-420,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1388898195000,-380,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1388898371000,-420,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1389233171000,-445,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1389546570000,-460,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1389673382000,-420,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1390350430000,-400,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1390581568000,-425,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1391396227000,-380,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1391617096000,-400,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392643086000,-390,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392750909000,-410,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392760989000,-440,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392836226000,-425,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392840728000,-460,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392930552000,-485,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1392991208000,-450,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1393084823000,-460,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1393098849000,-435,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
Ronda Rousey,5Dimes,1393108566000,-470,Ronda Rousey,Sara McMann,even,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
