Bet,betsite,dates,odds,fighter1,fighter2,class,url
Mariusz Pudzianowski,5Dimes,1446054846000,-290,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,5Dimes,1446243488000,-350,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BetDSI,1446143534000,-280,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BetDSI,1446320707000,-300,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BookMaker,1446143534000,-280,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BookMaker,1446319988000,-300,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BookMaker,1446320176000,-280,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,BookMaker,1446320708000,-300,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,SportBet,1446054847000,-278,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mariusz Pudzianowski,SportBet,1446243488000,-335,Mariusz Pudzianowski,Peter Graham,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,5Dimes,1446054846000,+210,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,5Dimes,1446243488000,+250,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BetDSI,1446143534000,+220,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BetDSI,1446320707000,+240,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BookMaker,1446143534000,+220,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BookMaker,1446319988000,+240,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BookMaker,1446320176000,+220,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,BookMaker,1446320708000,+240,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,SportBet,1446054847000,+222,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Peter Graham,SportBet,1446243488000,+265,Mariusz Pudzianowski,Peter Graham,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,5Dimes,1446055026000,+250,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,5Dimes,1446062408000,+190,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,5Dimes,1446085266000,+210,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,5Dimes,1446247807000,+220,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,BetDSI,1446143534000,+220,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,BookMaker,1446143534000,+220,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,SportBet,1446055027000,+265,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,SportBet,1446062409000,+202,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,SportBet,1446085267000,+222,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Marif Piraev,SportBet,1446247809000,+232,Marif Piraev,Mateusz Gamrot,even,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,5Dimes,1446055026000,-350,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,5Dimes,1446062408000,-270,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,5Dimes,1446085266000,-290,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,5Dimes,1446247807000,-300,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,BetDSI,1446143534000,-280,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,BookMaker,1446143534000,-280,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,SportBet,1446055027000,-335,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,SportBet,1446062409000,-258,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
Mateusz Gamrot,SportBet,1446085267000,-278,Marif Piraev,Mateusz Gamrot,odd,https://www.bestfightodds.com/search?query=UFC%2018%3A%20The%20Road%20to%20the%20Heavyweight%20Title
