Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alistair Overeem,5Dimes,1464231605000,+140,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1464339452000,+135,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1464419191000,+130,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1464720306000,+135,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1465117924000,+130,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1466845205000,+125,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1467303124000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1468057144000,+120,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1468340463000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1469841853000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1470170718000,-105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1470576247000,+100,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1470947766000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1471472672000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473132617000,+120,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473265466000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473337637000,+125,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473367337000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473390017000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473438790000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473438977000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473519977000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473540128000,+100,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473555253000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473561730000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473565867000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473566767000,+120,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473567134000,+125,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473567678000,+130,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,5Dimes,1473567857000,+125,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1467509765000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1467755105000,+113,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468084506000,+116,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468102866000,+120,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468103045000,+116,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468103225000,+120,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468633864000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1468699925000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1470548884000,+100,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1470555197000,+105,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1470903666000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1470910332000,+115,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
Alistair Overeem,BetDSI,1472260692000,+110,Alistair Overeem,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
