Bet,betsite,dates,odds,fighter1,fighter2,class,url
Georges St-Pierre,5Dimes,1501696991000,-160,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1502018109000,-155,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1502050868000,-150,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1502226370000,-150,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1502733969000,-140,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1505794871000,-145,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1506358448000,-140,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1506585068000,-135,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1506793147000,-140,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1506849312000,-135,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1508043970000,-130,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1508251506000,-125,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1508735703000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509004444000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509369669000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509457507000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509464886000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509645248000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509743169000,-105,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509823450000,+100,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509828667000,-105,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509855487000,+100,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509855847000,+105,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,5Dimes,1509856026000,+100,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506638888000,-135,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506654187000,-144,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506661570000,-127,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506699727000,-134,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506711428000,-138,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506719912000,-132,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506880087000,-131,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506917165000,-135,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506991686000,-118,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1506992046000,-129,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1507076836000,-113,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1507080968000,-129,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1508518809000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509414844000,-130,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509415027000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509415386000,-130,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509488466000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509488646000,-130,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509488827000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509500887000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509501067000,-120,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509501246000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509575588000,-113,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509575950000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509576307000,-113,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509576488000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509754332000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509754510000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509754690000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509754868000,-115,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509755049000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509823451000,-111,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509825790000,-109,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509834067000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509842166000,-107,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509842527000,-112,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509842707000,-107,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509843609000,-108,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509843788000,-109,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509844148000,-108,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509844507000,-109,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509845226000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509845406000,-109,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509845585000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509848108000,-111,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509848287000,-110,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509848647000,-111,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
Georges St-Pierre,BetDSI,1509848828000,-108,Georges St-Pierre,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
