Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jessica Andrade,5Dimes,1529884984000,+100,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1529888225000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1529934485000,+100,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1533343506000,-115,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1536470465000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1536991578000,-128,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537110010000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537111447000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537116850000,-165,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537122609000,-160,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537123150000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537124589000,-150,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537126389000,-145,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1537127289000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538003529000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538024767000,-150,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538027649000,-145,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538202788000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538900467000,-150,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1538945834000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1539144725000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1539208811000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1539229145000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1539714251000,-150,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1546969148000,+110,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1546986788000,-105,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1546991467000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1546991650000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1546995609000,-175,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547003350000,-215,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547003529000,-195,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547030169000,-175,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547074266000,-165,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547130613000,-185,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547139613000,-175,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547332026000,-195,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547342467000,-175,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1547486655000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1548374048000,-145,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1549634408000,-150,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1549655833000,-160,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1549953374000,-165,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1550499486000,-160,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1552194189000,-170,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1552785848000,-155,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1552928947000,-145,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1554217749000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1555209549000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1555315748000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1555782127000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1555990388000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1556040972000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1556729288000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1556807051000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557108905000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557149228000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557167228000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557244989000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557410952000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557496452000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557507070000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557518407000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557522729000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557588976000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557589511000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557589689000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557603188000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557604809000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557607510000,-125,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557613988000,-130,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557623706000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557630546000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557632169000,-135,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557632889000,-132,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557635048000,-136,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,5Dimes,1557635228000,-140,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556427790000,-128,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556517787000,-123,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556589786000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556640188000,-123,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556748202000,-122,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556749090000,-123,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556762599000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556839091000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556917392000,-115,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1556978591000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557029006000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557032589000,-116,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557083889000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557088387000,-116,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557109085000,-119,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557113593000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557127085000,-123,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557227887000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557238687000,-119,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557280087000,-123,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557320595000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557338589000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557340388000,-118,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
Jessica Andrade,BetDSI,1557345789000,-120,Jessica Andrade,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
