Bet,betsite,dates,odds,fighter1,fighter2,class,url
Israel Adesanya,5Dimes,1563939187000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1564302790000,+110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1564360029000,+105,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1564412229000,+110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1564540209000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1565545150000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1565790130000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566165246000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566242467000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566480252000,+110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566510854000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566511755000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566526872000,+110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566778685000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566827830000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1566858070000,+120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1568208607000,+115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569337932000,+110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569626653000,+105,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569704951000,-105,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569753910000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569763452000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569763631000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569790988000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569806110000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569853270000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569877930000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1569934450000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570141989000,-120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570170428000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570214352000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570229110000,-112,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570261869000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570274826000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570306686000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570315865000,-120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570319287000,-115,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570334045000,-120,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570334587000,-125,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,5Dimes,1570336024000,-130,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569125890000,+112,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569423789000,+107,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569540793000,+106,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569627193000,-103,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569710892000,-105,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569714491000,-106,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569724502000,-109,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569778394000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569809889000,-106,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569810790000,-109,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569877391000,-106,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569881012000,-109,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569893591000,-110,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569938592000,-111,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569952995000,-116,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569957490000,-118,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
Israel Adesanya,BetDSI,1569958389000,-116,Israel Adesanya,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
