Bet,betsite,dates,odds,fighter1,fighter2,class,url
Georges St-Pierre,5Dimes,1196276423000,-290,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196281837000,-280,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196283632000,-260,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196296219000,-265,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196343024000,-255,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196721022000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1196809223000,-245,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1197030025000,-235,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1197370815000,-225,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1197633618000,-220,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198148417000,-225,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198352434000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198734004000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198755605000,-245,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198794007000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198908008000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198978804000,-230,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198982404000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198986009000,-265,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198988406000,-235,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,5Dimes,1198989605000,-230,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196218807000,-205,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196220092000,-245,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196222415000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196460016000,-265,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196469009000,-255,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1196974812000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1197483608000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198710016000,-220,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198770012000,-225,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198798813000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198808412000,-225,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198886415000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198948815000,-225,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198952414000,-240,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198956038000,-250,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
Georges St-Pierre,BookMaker,1198964415000,-245,Georges St-Pierre,Matt Hughes,even,https://www.bestfightodds.com/events/ufc-79-nemesis-22
