Bet,betsite,dates,odds,fighter1,fighter2,class,url
Curtis Blaydes,5Dimes,1538068690000,+115,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538068869000,-150,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538069950000,-155,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538077869000,-190,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538102169000,-260,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538346991000,-275,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538407112000,-260,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538632455000,-275,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1538804526000,-290,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539028445000,-285,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539031865000,-275,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539182192000,-270,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539277396000,-215,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539284592000,-240,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539563949000,-250,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1539898932000,-245,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1541571850000,-250,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1541819172000,-240,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1541953807000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1541954888000,-205,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1541967670000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542120763000,-190,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542192489000,-200,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542202388000,-210,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542236951000,-200,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542254409000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542313270000,-220,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542323528000,-200,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542551049000,-210,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542562206000,-200,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542667509000,-210,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542720430000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542812048000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542899709000,-235,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542932656000,-240,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542977649000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542977837000,-235,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542983050000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1542986832000,-220,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543013294000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543017072000,-235,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543031111000,-240,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543045331000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543051628000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543056308000,-220,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543064051000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543064411000,-235,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543064771000,-225,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543064949000,-230,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,5Dimes,1543065128000,-240,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542454752000,-196,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542470052000,-205,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542471490000,-196,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542503364000,-205,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542503528000,-196,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542503710000,-205,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542514036000,-198,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542514688000,-202,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542519369000,-208,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542545472000,-205,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
Curtis Blaydes,BetDSI,1542549247000,-215,Curtis Blaydes,Francis Ngannou,even,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
