Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alex Oliveira,5Dimes,1455157627000,+175,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455157986000,+180,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455163206000,+250,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455163566000,+220,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455171846000,+200,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455208387000,+225,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455210907000,+230,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455282009000,+240,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455291366000,+245,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455408906000,+240,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455739026000,+250,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455827407000,+265,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455894548000,+265,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1455986528000,+263,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456005786000,+265,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456027388000,+260,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456072217000,+250,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456082285000,+245,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456090745000,+200,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456095785000,+210,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456104785000,+215,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456111984000,+220,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456113245000,+225,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456114504000,+230,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456115044000,+240,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,5Dimes,1456115585000,+230,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455287231000,+210,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455577592000,+230,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455689527000,+235,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455766926000,+240,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455846667000,+241,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455927487000,+242,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1455949627000,+245,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1456071666000,+244,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1456091647000,+190,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
Alex Oliveira,BetDSI,1456091828000,+190,Alex Oliveira,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
