Bet,betsite,dates,odds,fighter1,fighter2,class,url
Donald Cerrone,5Dimes,1528328886000,-155,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528329066000,-125,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528329607000,-120,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528330508000,-105,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528330687000,+100,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528331227000,+105,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528331407000,+125,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528331588000,+120,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528331765000,+115,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528338245000,+120,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528338605000,+130,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528376946000,+140,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528425365000,+150,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528437246000,+160,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528438685000,+165,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528439045000,+160,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528440306000,+165,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528443122000,+170,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528451645000,+165,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528465867000,+155,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528479007000,+150,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528668725000,+155,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
Donald Cerrone,5Dimes,1528776005000,+160,Donald Cerrone,Leon Edwards,even,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
