Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frankie Edgar,5Dimes,1424289967000,-380,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424290506000,-280,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424290687000,-285,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424332806000,-300,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424811246000,-270,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424917445000,-380,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1424987112000,-400,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1425418206000,-380,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431282428000,-400,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431460627000,-450,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431724148000,-500,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431724330000,-470,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431777612000,-570,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431778509000,-605,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431783188000,-570,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431793087000,-605,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431794168000,-525,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,5Dimes,1431795613000,-550,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1426019047000,-365,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1426019952000,-370,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1429076706000,-360,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1429804087000,-380,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1431380168000,-368,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
Frankie Edgar,BetDSI,1431384847000,-390,Frankie Edgar,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
