Bet,betsite,dates,odds,fighter1,fighter2,class,url
Aleksandar Rakic,5Dimes,1575663309000,-135,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575664028000,-130,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575664210000,-125,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575664747000,-120,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575667629000,-115,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575679510000,-110,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575691209000,-120,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575739808000,-115,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575785893000,-110,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575786252000,+100,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575790574000,-115,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575827649000,-120,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575849966000,-125,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575850145000,-130,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575858064000,-140,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575860945000,-150,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575862924000,-145,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1575901805000,-150,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1576090992000,-145,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
Aleksandar Rakic,5Dimes,1576249219000,-140,Aleksandar Rakic,Volkan Oezdemir,even,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
