Bet,betsite,dates,odds,fighter1,fighter2,class,url
Deiveson Figueiredo,5Dimes,1590348069000,-215,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1590618250000,-220,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1590908587000,-240,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1590942065000,-220,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1591299010000,-230,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1591760347000,-235,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1591807867000,-230,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1591972746000,-240,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1592152578000,-235,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1593128346000,-225,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1593374167000,-230,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1593920647000,-220,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594254725000,-230,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594322765000,-235,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594322887000,-230,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594579925000,-225,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594610045000,-220,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594653370000,-200,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594916169000,-210,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594975805000,-215,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1594992127000,-220,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
Deiveson Figueiredo,5Dimes,1595014327000,-210,Deiveson Figueiredo,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
