Bet,betsite,dates,odds,fighter1,fighter2,class,url
Kenny Florian,5Dimes,1265741126000,-215,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1265742917000,-210,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1265743820000,-250,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1265747435000,-265,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1265758225000,-270,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1265875231000,-280,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1266628525000,-310,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1266921914000,-300,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1267111826000,-290,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1267525814000,-280,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1269567958000,-300,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1269729054000,-270,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1269794723000,-275,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1269800154000,-290,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1269924322000,-320,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1270014352000,-330,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,5Dimes,1270084517000,-360,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,BookMaker,1266287419000,-290,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
Kenny Florian,BookMaker,1266291918000,-295,Kenny Florian,Takanori Gomi,even,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
