Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gegard Mousasi,5Dimes,1407269895000,+160,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1407270256000,+140,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1407273498000,+115,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1407699558000,+125,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408110128000,+130,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408248545000,+145,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408281126000,+155,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408282207000,+170,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408284186000,+190,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408284726000,+200,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408286706000,+180,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408307945000,+205,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408319645000,+225,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408319825000,+240,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408321625000,+260,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408323965000,+250,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408325584000,+240,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408326305000,+220,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408334944000,+240,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408365366000,+220,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408373646000,+250,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408374905000,+200,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408388586000,+225,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408454467000,+250,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408487522000,+230,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408644186000,+270,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408644546000,+280,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408657506000,+270,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408795026000,+260,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408806007000,+270,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408806187000,+290,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408939025000,+270,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408998427000,+265,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1408999866000,+260,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409588106000,+250,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409609885000,+255,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409692506000,+250,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409859366000,+248,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409880965000,+240,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409924708000,+235,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409937851000,+230,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409939647000,+225,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409939827000,+215,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409940727000,+220,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409944326000,+210,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409949727000,+205,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
Gegard Mousasi,5Dimes,1409953689000,+200,Gegard Mousasi,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
