Bet,betsite,dates,odds,fighter1,fighter2,class,url
John Dodson,5Dimes,1471293557000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471293737000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471293915000,+100,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471365371000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471418286000,-110,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471465986000,+100,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1471470491000,+105,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1472604129000,+100,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1473002287000,-115,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1473591427000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1474821368000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1475068691000,-130,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1475260757000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1475349858000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1475382607000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,5Dimes,1475383877000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1474574248000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1474756749000,-115,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1474929728000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1474929918000,-115,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1474930113000,-125,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1475105050000,-117,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1475199551000,-120,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
John Dodson,BetDSI,1475252484000,-121,John Dodson,John Lineker,even,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
