Bet,betsite,dates,odds,fighter1,fighter2,class,url
Eryk Anders,5Dimes,1517290037000,-300,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517291297000,-315,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517291646000,-380,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517293445000,-365,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517296506000,-335,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517297233000,-300,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517316851000,-280,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517320985000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517342406000,-280,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517348351000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517435470000,-275,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517453107000,-290,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517493970000,-300,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517580370000,-290,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517580728000,-275,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517583607000,-265,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517616223000,-260,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517649847000,-250,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517672708000,-255,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517713387000,-250,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517715007000,-245,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517716086000,-240,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517716268000,-230,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517720768000,-225,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517722567000,-220,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517722933000,-225,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517723106000,-230,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517723318000,-235,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,5Dimes,1517723648000,-245,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BetDSI,1517423227000,-272,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517318108000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517319188000,-265,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517326585000,-266,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517333766000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517415850000,-271,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517416027000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517416208000,-271,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517421250000,-272,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517421610000,-271,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517421790000,-272,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517442854000,-280,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517443041000,-272,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517443208000,-280,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517456168000,-284,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517457787000,-290,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517458150000,-284,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517458329000,-290,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517462648000,-285,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517462827000,-290,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517463188000,-285,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517521690000,-284,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517637791000,-270,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517669649000,-265,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517715190000,-260,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517716269000,-232,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517721498000,-230,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517721670000,-232,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517721862000,-230,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517722568000,-239,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,BookMaker,1517723107000,-245,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517290040000,-288,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517291298000,-303,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517291648000,-362,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517293447000,-349,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517296508000,-322,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517297235000,-288,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517316853000,-271,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
Eryk Anders,SportBet,1517320987000,-264,Eryk Anders,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
