Bet,betsite,dates,odds,fighter1,fighter2,class,url
C.B. Dollaway,5Dimes,1418264647000,+400,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418502966000,+450,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418506386000,+350,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418592244000,+400,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418604665000,+440,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418654166000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418657227000,+475,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418710144000,+450,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418944146000,+475,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1418950267000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419007327000,+540,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419087067000,+555,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419091588000,+588,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419109745000,+635,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419111008000,+660,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419117309000,+700,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419117485000,+725,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419125406000,+750,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419125585000,+765,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419139985000,+705,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,5Dimes,1419140164000,+675,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418657947000,+460,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418679366000,+390,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418689985000,+395,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418785925000,+395,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418869265000,+390,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418908686000,+460,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1418981225000,+462,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419002287000,+467,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419037565000,+525,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419098825000,+550,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419099534000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419100927000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419110826000,+625,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419113889000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419118030000,+615,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419120727000,+675,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419121088000,+700,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BetDSI,1419124326000,+800,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418658308000,+460,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418679546000,+390,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418689986000,+395,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418869542000,+390,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418908507000,+460,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418980866000,+462,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418981124000,+460,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1418981225000,+462,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419002468000,+467,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419037746000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419104349000,+525,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419112809000,+535,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419114070000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419120728000,+650,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419126127000,+650,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419126487000,+615,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419134585000,+592,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,BookMaker,1419139445000,+640,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418264651000,+430,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418502968000,+495,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418506388000,+377,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418592246000,+430,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418604666000,+471,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418654167000,+530,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418657228000,+501,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418710146000,+472,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418944147000,+501,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1418950269000,+530,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419087070000,+541,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419091591000,+587,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419109749000,+616,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419111011000,+645,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419117312000,+702,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419125409000,+760,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419139986000,+702,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,SportBet,1419140165000,+674,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Bovada,1418654527000,+450,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Bovada,1419113527000,+575,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Bovada,1419118385000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Bovada,1419140705000,+575,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1418929027000,+425,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1418999589000,+450,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1419023709000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1419096364000,+550,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1419097058000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1419112630000,+650,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Sportsbook,1419135846000,+600,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418621765000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418634191000,+501,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418655068000,+494,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418664623000,+485,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418707990000,+500,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418708166000,+501,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418742910000,+522,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418743451000,+526,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418761354000,+506,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
C.B. Dollaway,Pinnacle,1418799430000,+488,C.B. Dollaway,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
