Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gray Maynard,5Dimes,1260711024000,-325,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1261312226000,-350,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1261379716000,-340,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1261402218000,-330,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1261997112000,-320,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1262006111000,-330,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1262689221000,-320,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263246316000,-330,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263259828000,-360,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263260727000,-340,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263263414000,-360,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263264314000,-350,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,5Dimes,1263267919000,-360,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260661537000,-260,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260665140000,-300,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260667831000,-305,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260684038000,-310,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260688550000,-315,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1260826227000,-325,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1261000841000,-345,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1261890922000,-342,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1262080825000,-341,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1262641529000,-335,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1262902538000,-320,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1263105928000,-310,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1263119427000,-307,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Gray Maynard,BookMaker,1263162631000,-305,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
