Bet,betsite,dates,odds,fighter1,fighter2,class,url
Aleksei Oleinik,5Dimes,1554565327000,+175,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554569112000,+145,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554570188000,+175,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554604566000,+175,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554609969000,+175,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554652086000,+180,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554653169000,+185,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554653348000,+190,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554661625000,+210,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554910211000,+220,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1554998950000,+210,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555258867000,+205,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555449849000,+200,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555513212000,+210,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555535710000,+215,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555592774000,+220,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555618149000,+210,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555690868000,+215,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555746309000,+220,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555762329000,+230,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555766477000,+245,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555778172000,+225,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555786629000,+215,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555786988000,+205,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555787889000,+215,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,5Dimes,1555788438000,+205,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554613387000,+180,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554624188000,+176,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554649927000,+183,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554656588000,+195,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554657129000,+209,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
Aleksei Oleinik,BetDSI,1554667388000,+210,Aleksei Oleinik,Alistair Overeem,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
