Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Pettis,5Dimes,1504999090000,-140,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1504999268000,-130,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1505331007000,-125,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1506351607000,-120,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1506584887000,-115,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1506960371000,-125,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1509970505000,-120,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1509979145000,-125,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1510202705000,-120,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1510329247000,-110,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1510340408000,-105,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1510464607000,+100,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
Anthony Pettis,5Dimes,1510464966000,-105,Anthony Pettis,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
