Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jeremy Stephens,5Dimes,1565209448000,+125,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565209637000,+115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565210348000,+105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565211428000,+120,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565211969000,+125,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565212692000,+115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565213949000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565214671000,+100,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565236632000,+120,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565544968000,+110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1565789964000,+105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1566166326000,+100,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1566181449000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1566356411000,-115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1566394214000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1567697954000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568042110000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568563209000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568652308000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568694790000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568739073000,-115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568813768000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1568839695000,-115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569016271000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569079998000,-105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569081808000,+105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569098351000,+100,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569101411000,+105,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569106270000,+110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569109330000,+115,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569118690000,+110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569119235000,+107,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,5Dimes,1569119590000,+100,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,BetDSI,1567910887000,-106,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,BetDSI,1567928889000,-108,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
Jeremy Stephens,BetDSI,1568103491000,-110,Jeremy Stephens,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
