Bet,betsite,dates,odds,fighter1,fighter2,class,url
Ben Rothwell,5Dimes,1455055206000,+110,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455057366000,+100,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455060066000,-110,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455061506000,-120,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455062047000,-125,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455091566000,-145,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455119826000,-155,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455145566000,-135,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455196147000,-155,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455228548000,-165,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455301987000,-135,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1455343566000,-125,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1457550188000,-110,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1458477546000,-115,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1459361888000,-105,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
Ben Rothwell,5Dimes,1459803066000,+100,Ben Rothwell,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
