Bet,betsite,dates,odds,fighter1,fighter2,class,url
Din Thomas,5Dimes,1187559029000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1187611229000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189294239000,+145,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189425620000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189445416000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189463423000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1190185229000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1190194225000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1187757020000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190149212000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190174416000,+145,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190217609000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190230210000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190232018000,+125,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190253610000,+120,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189382411000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189688409000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189740607000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1187420403000,+160,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1188646205000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1189314003000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Sportsbook,1187420421000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Sportsbook,1189072826000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportsInt.,1190169050000,+137,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1187559029000,-175,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1187611229000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189294239000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189425620000,-150,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189445416000,-155,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189463423000,-160,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1190185229000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1190194225000,-160,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1187757020000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190149212000,-180,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190174416000,-175,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190217609000,-185,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190230210000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190232018000,-155,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190253610000,-150,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,SportBet,1189382411000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,SportBet,1189688409000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,SportBet,1189740607000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,Bovada,1187420403000,-200,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,Bovada,1188646205000,-180,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,Bovada,1189314003000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,Sportsbook,1187420421000,-185,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,Sportsbook,1189072826000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,SportsInt.,1190169050000,-189,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1184252889000,+125,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1184545822000,+155,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1184657421000,+160,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1186246830000,+165,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1187460031000,+180,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1187557231000,+185,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1189990819000,+175,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1190028615000,+180,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1190210425000,+190,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1190230240000,+180,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,5Dimes,1190237462000,+190,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kuniyoshi Hironaka,BookMaker,1184608818000,+160,Kuniyoshi Hironaka,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
