Bet,betsite,dates,odds,fighter1,fighter2,class,url
Colby Covington,5Dimes,1563134226000,-175,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563134410000,-210,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563134588000,-190,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563147189000,-195,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563155467000,-210,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563157808000,-230,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563213790000,-230,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563235387000,-240,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563745865000,-250,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563814986000,-240,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563815886000,-225,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1563919929000,-230,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564244828000,-220,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564346529000,-225,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564441570000,-235,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564512131000,-225,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564604109000,-230,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564604470000,-235,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564621387000,-245,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564683849000,-240,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564688712000,-235,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564752797000,-225,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564792931000,-220,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564825331000,-225,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564839572000,-235,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564841537000,-245,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564841711000,-240,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564843868000,-235,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564851610000,-245,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564856650000,-255,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564858090000,-275,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564860790000,-260,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564867268000,-290,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
Colby Covington,5Dimes,1564867450000,-280,Colby Covington,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
