Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dan Hooker,5Dimes,1590848468000,+140,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1590942065000,+145,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591169229000,+150,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591346351000,+158,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591662785000,+160,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591759987000,+165,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591806611000,+150,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591903810000,+155,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1591972385000,+160,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592152208000,+165,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592279647000,+170,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592512748000,+175,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592569810000,+170,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592607435000,+175,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592756829000,+185,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592758266000,+180,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592812090000,+175,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1592858348000,+180,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593045366000,+185,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593120789000,+190,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593181452000,+195,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593191529000,+200,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593192607000,+210,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593194237000,+205,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593195303000,+200,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593196206000,+195,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593202865000,+200,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593220153000,+205,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
Dan Hooker,5Dimes,1593243193000,+200,Dan Hooker,Dustin Poirier,even,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
