Bet,betsite,dates,odds,fighter1,fighter2,class,url
Michael Bisping,5Dimes,1352228705000,+120,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352229004000,+160,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352229312000,+120,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352231704000,+110,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352233804000,+145,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352234703000,+115,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352237103000,+140,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352242208000,+115,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352324704000,+130,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352326804000,+110,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352328305000,+120,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352355303000,+110,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
Michael Bisping,5Dimes,1352916904000,+125,Michael Bisping,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
