Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1386437770000,-140,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386521042000,-130,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386551210000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386577990000,-130,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386791289000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386795969000,-130,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386869658000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1386997036000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1387036450000,-140,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1387050851000,-145,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1387072807000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1387072988000,-130,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,5Dimes,1387076227000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,BetDSI,1386567744000,-135,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,BetDSI,1387025850000,-140,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,BetDSI,1387051753000,-155,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
Demetrious Johnson,BetDSI,1387070651000,-150,Demetrious Johnson,Joseph Benavidez,even,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
