Bet,betsite,dates,odds,fighter1,fighter2,class,url
Fabricio Werdum,5Dimes,1396747985000,+160,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396748345000,+150,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396748529000,+140,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396749903000,+125,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396750082000,+130,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396751522000,+140,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396755016000,+130,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396819084000,+110,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396820345000,+120,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396822865000,+140,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396985229000,+165,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1396995669000,+170,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397776510000,+175,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397856432000,+175,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397863808000,+185,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397864350000,+195,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397914223000,+190,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397919611000,+175,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397923219000,+185,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397929517000,+190,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397946254000,+188,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397951648000,+190,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397956690000,+195,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,5Dimes,1397957767000,+200,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397776149000,+170,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397864536000,+180,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397865250000,+180,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397911340000,+175,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397925204000,+182,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397938514000,+185,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BetDSI,1397959025000,+189,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397776149000,+170,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397863809000,+173,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397864891000,+191,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397911159000,+180,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397911515000,+175,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397925374000,+182,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397938350000,+185,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397949504000,+187,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397956506000,+188,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397959210000,+189,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,BookMaker,1397959386000,+193,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,SportBet,1396747987000,+167,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
Fabricio Werdum,SportBet,1396748346000,+156,Fabricio Werdum,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
