Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gegard Mousasi,5Dimes,1364948404000,-2000,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1364952904000,-1850,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1364959204000,-1700,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1364983505000,-1500,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1364994005000,-1350,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365012905000,-1050,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365021005000,-1200,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365030605000,-1300,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365131404000,-1475,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365153904000,-1370,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365189904000,-1200,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365190205000,-1040,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365241506000,-1085,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365263706000,-1045,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365267006000,-965,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365277806000,-825,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365279006000,-780,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,5Dimes,1365280506000,-710,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365013215000,-1375,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365018016000,-1125,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365022211000,-1300,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365132313000,-1450,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365139512000,-1375,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365184515000,-1400,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365256814000,-1375,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365276912000,-1200,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365279612000,-1100,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BetDSI,1365280513000,-1000,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365013220000,-1400,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365018021000,-1150,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365022217000,-1350,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365132319000,-1475,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365139517000,-1400,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
Gegard Mousasi,BookMaker,1365184520000,-1400,Gegard Mousasi,Ilir Latifi,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
