Bet,betsite,dates,odds,fighter1,fighter2,class,url
Stefan Struve,5Dimes,1341081904000,+180,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1341954603000,+240,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1342066504000,+255,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1342103103000,+180,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1342159803000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1342365904000,+210,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1344929703000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1345047603000,+210,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1346056203000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1346694604000,+190,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1347297904000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1347879603000,+190,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348486804000,+185,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348691703000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348859106000,+175,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348859405000,+177,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348930507000,+175,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348930807000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348933206000,+164,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348946406000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348950003000,+150,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348955408000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348957204000,+160,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,5Dimes,1348958106000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1345367410000,+195,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1346363711000,+190,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348628109000,+195,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348628411000,+190,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348684212000,+180,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348686909000,+175,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348848311000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348897212000,+160,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348930514000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348950910000,+145,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348951217000,+150,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BetDSI,1348953312000,+145,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1340991907000,+205,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1342369509000,+205,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1346363416000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348628113000,+195,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348684217000,+185,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348686914000,+185,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348848317000,+175,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348897516000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348929019000,+160,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348950916000,+145,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348951245000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,BookMaker,1348953319000,+150,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1341081934000,+192,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1341954626000,+252,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1342066543000,+271,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1342103124000,+192,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1342159824000,+212,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1342365935000,+216,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1344929723000,+206,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1345047628000,+216,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1346056226000,+206,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1346694639000,+196,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1347297938000,+206,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1347879634000,+196,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348486834000,+191,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348691734000,+174,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348859147000,+180,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348859440000,+174,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348930870000,+169,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348933249000,+161,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348946445000,+153,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348949746000,+148,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348955447000,+153,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348957241000,+158,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,SportBet,1348958136000,+153,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1343052005000,-260,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1343107204000,+200,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1344523205000,+195,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1346256005000,+190,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348001106000,+185,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348672506000,+175,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348769106000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348788908000,+160,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348848307000,+170,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348867808000,+165,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348922416000,+160,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348929609000,+155,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
Stefan Struve,Bovada,1348938906000,+150,Stefan Struve,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
