Bet,betsite,dates,odds,fighter1,fighter2,class,url
Angela Hill,5Dimes,1597344130000,-135,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1597351572000,-135,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1597551971000,-130,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1597559411000,-140,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1597586297000,-145,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598053095000,-135,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598175370000,-140,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598191927000,-150,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598205134000,-135,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598248808000,-140,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598250125000,-145,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598301843000,-140,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
Angela Hill,5Dimes,1598538129000,-150,Angela Hill,Michelle Waterson,even, https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
