Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,5Dimes,1603480087000,+160,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1603581723000,+170,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1603649169000,+175,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1603917723000,+180,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1603999091000,+185,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604178006000,+180,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604251932000,+185,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604286963000,+190,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604425207000,+200,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604690886000,+210,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604696527000,+205,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,5Dimes,1604750530000,+205,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603509969000,+165,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603522568000,+167,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603531208000,+168,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603532284000,+169,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603583404000,+182,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
Glover Teixeira,BetDSI,1603583524000,+174,Glover Teixeira,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
