fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",Peresvet FT,"Makhachkala, Dagestan","Rostov-on-Don, Russia"
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",,"Niigata Prefecture, Japan","Tokyo, Japan"
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",American Top Team,"Manaus, Amazonas, Brazil","Curitiba, Parana, Brazil"
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",Paradigm Training Center,United States,"Houston, Texas"
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",,"Samarkand, Uzbekistan","Brooklyn, New York"
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",City Kickboxing,"Lagos, Nigeria","Auckland, New Zealand"
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",Akhmat Fight Club Kazakhstan,Kazakhstan,"Coconut Creek, Florida"
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",American Top Team,"Veracruz, Mexico","Coconut Creek, Florida"
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",Longview MMA / Team 515,"Winnsboro, Texas","Longview, Texas"
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",Total MMA Studios,United States,"Brea, California"
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",DagFighter,"Kizlyar, Dagestan, Russia","Makhachkala, Dagestan, Russia"
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",Team Cloud,"Ikuno, Osaka, Japan","Minato, Tokyo, Japan"
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",Fightzone Stockholm,Sweden,Sweden
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",London Shootfighters,United Kingdom,England
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",Team Alateng,China,"Inner Mongolia, China"
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",London Shootfighters,Sweden,"London, England"
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",Victory Athletics,"Reno, Nevada, United States","Puyallup, Washington"
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",OCSJJ,"Paranagua, Parana, Brazil","Paranagua, Parana, Brazil"
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",MMA-KEGI,"Vulcanesti, Moldova","Moscow, Russia"
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",Jackson Wink MMA,"Marajo, Para, Brazil","Soure, Para, Brazil"
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",Frankiko Team,"Soure, Para, Brazil","Soure, Para, Brazil"
