R_fighter,B_fighter,Average_Odds_f1,Average_Odds_f2,date,title_bout,win_by,weight_class,red_fighters_elo,blue_fighters_elo,red_Fighter_Odds,blue_Fighter_Odds,Winner,R_Fight_Number,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_WinLossRatio,R_RingRust,R_Winning_Streak,R_Losing_Streak,R_AVG_fight_time,R_total_title_bouts,R_Takedown_Defense,R_Takedown Accuracy,R_Strikes_Per_Minute,R_Striking Accuracy,R_Strikes_Absorbed_per_Minute,R_Striking Defense,R_knockdows_per_minute,R_Submission Attempts,R_Average_Num_Takedowns,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Power_Rating,red_skill,wrestling_red_skill,striking_red_skill,g_and_p_red_skill,jiujitsu_red_skill,grappling_red_skill,B_Fight_Number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_WinLossRatio,B_RingRust,B_Winning_Streak,B_Losing_Streak,B_AVG_fight_time,B_total_title_bouts,B_Takedown_Defense,B_Takedown Accuracy,B_Strikes_Per_Minute,B_Striking Accuracy,B_Strikes_Absorbed_per_Minute,B_Striking Defense,B_knockdows_per_minute,B_Submission Attempts,B_Average_Num_Takedowns,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Power_Rating,blue_skill,wrestling_blue_skill,striking_blue_skill,g_and_p_blue_skill,jiujitsu_blue_skill,grappling_blue_skill
Dustin Hazelett,Stevie Lynch,-250.0,225.0,2007-06-16,False,Submission,Welterweight,,,0.7142857142857143,0.3076923076923077,Red,1.0,Orthodox,185.42,193.04,21.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,177.8,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Rich Franklin,Yushin Okami,-210.0,180.0,2007-06-16,False,Decision - Unanimous,Middleweight,,,0.6774193548387096,0.35714285714285715,Red,1.0,Southpaw,185.42,190.5,32.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,5.0,1.0,1.0,,,,,,,,1.0,Southpaw,187.96,190.5,25.0,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,
Forrest Griffin,Hector Ramirez,-200.0,200.0,2007-06-16,False,Decision - Unanimous,Light Heavyweight,,,0.6666666666666666,0.3333333333333333,Red,1.0,Orthodox,190.5,195.58,28.0,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,1.0,Orthodox,182.88,,31.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Eddie Sanchez,Colin Robinson,-200.0,190.0,2007-06-16,False,KO/TKO,Heavyweight,,,0.6666666666666666,0.3448275862068966,Red,1.0,Orthodox,187.96,187.96,24.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,Orthodox,193.04,,38.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Ed Herman,Scott Smith,-160.0,135.0,2007-06-16,False,Submission,Middleweight,,,0.6153846153846154,0.425531914893617,Red,1.0,Orthodox,185.42,195.58,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,182.88,177.8,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Marcus Davis,Jason Tan,-350.0,345.0,2007-06-16,False,KO/TKO,Welterweight,,,0.7777777777777778,0.2247191011235955,Red,1.0,Southpaw,177.8,177.8,33.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,1.0,Orthodox,177.8,,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Tyson Griffin,Clay Guida,-210.0,190.0,2007-06-16,False,Decision - Split,Lightweight,,,0.6774193548387096,0.3448275862068966,Red,1.0,Orthodox,167.64,172.72,23.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,170.18,177.8,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Thales Leites,Floyd Sword,-450.0,400.0,2007-06-23,False,Submission,Middleweight,,,0.8181818181818182,0.2,Red,1.0,Orthodox,185.42,198.12,25.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,182.88,,30.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Roger Huerta,Doug Evans,-750.0,550.0,2007-06-23,False,KO/TKO,Lightweight,,,0.8823529411764706,0.15384615384615385,Red,1.0,Orthodox,175.26,177.8,24.0,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,1.0,Orthodox,175.26,,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Joe Lauzon,Brandon Melendez,-475.0,425.0,2007-06-23,False,Submission,Lightweight,,,0.8260869565217391,0.19047619047619047,Red,1.0,Orthodox,177.8,180.34,23.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,Southpaw,180.34,,24.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
