fighter_name,Affiliation,Born,Fighting out of,Reach,Date of Birth
Papy Abedi,Hilti NHB,"Kinshasa, Democratic Republic of Congo","Stockholm, Sweden","74.0"" (188cm)",1900-20-30
Ricardo Abreu,Wand Fight Team,"Ribeirao Preto, Sao Paulo, Brazil","Huntington Beach, California","73.0"" (185cm)",1900-20-30
Razak Al-Hassan,Fortis MMA,"Minneapolis, Minnesota","Arlington, Texas","72.0"" (183cm)",1900-20-30
Ericka Almeida,Chute Boxe Monstro,Brazil,"Sorocaba, Sao Paulo, Brazil","69.0"" (175cm)",1900-20-30
Amilcar Alves,Nova União,Brazil,"Rio de Janeiro, Brazil",N/A,1900-20-30
Reese Andy,N/A,United States,"Seattle, Washington, USA",N/A,1900-20-30
Azunna Anyanwu,Balance Studios,United States,"Philadelphia, Pennsylvania","71.0"" (180cm)",1900-20-30
Cesar Arzamendia,Paraguay Combat Team,"Luque, Paraguay","Asuncion, Paraguay","70.5"" (179cm)",1900-20-30
Pat Audinwood,Team Bombsquad,"Corning, New York, United States","Elmira, New York","74.0"" (188cm)",1900-20-30
Chris Avila,Cesar Gracie Jiu Jitsu,United States,"Stockton, California","72.5"" (184cm)",1900-20-30
Niklas Backstrom,Allstars Training Center,Sweden,Sweden,"73.0"" (185cm)",1900-20-30
Izabela Badurek,GKS Górnik Łęczna MMA,"Lublin, Poland","Warsaw, Poland","65.0"" (165cm)",1900-20-30
Mehdi Baghdad,Team Quest,France,California,"75.0"" (191cm)",1900-20-30
Marcin Bandel,Zenith Vera Fight Club,"Pabianice, Poland","Łódź, Poland","70.0"" (178cm)",1900-20-30
David Baron,Haute Tension,France,"Bois-Colombes, Hauts-de-Seine, France",N/A,1900-20-30
Dan Barrera,N/A,United States,"Radcliff, Kentucky",N/A,1900-20-30
Alexandre Barros,Baixinho Team,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil",N/A,1900-20-30
Stephen Bass,Mad House Gym,"Shreveport, Louisiana, United States","Savannah, Georgia","73.0"" (185cm)",1900-20-30
Shayna Baszler,UWF USA,United States,"Sioux Falls, South Dakota","67.5"" (171cm)",1900-20-30
Michel Batista,N/A,"Camagüey, Cuba",Florida,"80.5"" (204cm)",1900-20-30
Keith Berish,Black & Blue MMA,United States,"Kingston, New York","73.5"" (187cm)",1900-20-30
Allen Berube,American Top Team,"Augusta, Georgia, United States","Coconut Creek, Florida","76.0"" (193cm)",1900-20-30
Jason Black,Miletich Fighting Systems,United States,"Davenport, Illinois",N/A,1900-20-30
Tom Blackledge,Wolfslair MMA Academy,United Kingdom,"Liverpool, England","77.0"" (196cm)",1900-20-30
Byron Bloodworth,Iron Clutch Fitness,"Lynchburg, Virginia, United States","Atlanta, Georgia","72.0"" (183cm)",1900-20-30
Jesse Bongfeldt,United Fighter MMA,"Kenora, Ontario, Canada","Kenora, Ontario","72.0"" (183cm)",1900-20-30
Paul Bradley,Alliance MMA,"Tama, Iowa, United States","San Diego, California","72.0"" (183cm)",1900-20-30
Joe Brammer,Throwdown Elite Training Center,United States,"Des Moines, Iowa, United States",N/A,1900-20-30
Todd Brown,Bulldog Fight Team,"Mishawaka, Indiana, United States","Osceola, Indiana","74.0"" (188cm)",1900-20-30
Humberto Brown Morrison,Alleycat Panama,"Panama City, Panama","Panama City, Panama","71.0"" (180cm)",1900-20-30
Junie Browning,Legends MMA,"Lexington, Kentucky, United States","Los Angeles, California","72.0"" (183cm)",1900-20-30
Jules Bruchez,N/A,United States,"Lafayette, Louisiana",N/A,1900-20-30
Steve Bruno,American Top Team,United States,"Coral Springs, Florida",N/A,1900-20-30
Fernando Bruno,Nova União,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil","71.0"" (180cm)",1900-20-30
Josh Bryant,Absolute Combat Alliance,"Broken Arrow, California, United States","Tulsa, Oklahoma",N/A,1900-20-30
Nah-Shon Burrell,N/A,United States,"Philadelphia, Pennsylvania","71.0"" (180cm)",1900-20-30
Bubba Bush,Brazos Valley MMA,"Mississippi, United States","College Station, Texas","74.0"" (188cm)",1900-20-30
Wagner Campos,Gile Ribeiro Team,"Curitiba, Brazil","Curitiba, Brazil","66.0"" (168cm)",1900-20-30
Cain Carrizosa,Classic Fight Team,United States,"Woodlake, California","74.0"" (188cm)",1900-20-30
Luke Caudillo,Team Wiseman,"North Platte, Nebraska","Denver, Colorado",N/A,1900-20-30
Adam Cella,Finney's HIT Squad,United States,"Fenton, Missouri","73.5"" (187cm)",1900-20-30
Albert Cheng,Evolução Thai MMA,"Toronto, Ontario, Canada","Mississauga, Ontario","70.5"" (179cm)",1900-20-30
Sako Chivitchian,Hayastan MMA,Armenian SSR,"Glendale, California",N/A,1900-20-30
Will Chope,N/A,"Martinez, California, United States","Maha Sarakham, Thailand","76.0"" (193cm)",1900-20-30
Anthony Christodoulou,Renzo Gracie Brooklyn,"Glyfáda, Greece","New York, New York","72.0"" (183cm)",1900-20-30
Mike Ciesnolevicz,Miletich Fighting Systems,"Harrisburg, Pennsylvania, United States","Bettendorf, Iowa","74.0"" (188cm)",1900-20-30
Josh Clopton,El Niño Training Center,"Columbus, Mississippi, United States","Pacifica, California","68.0"" (173cm)",1900-20-30
Brian Cobb,Eric Nolan's Xtreme Training Center,"San Jose, California, United States","Bakersfield, California","72.0"" (183cm)",1900-20-30
John Cofer,Team Alpha Male,"Savannah, Georgia, United States","Athens, Georgia","73.0"" (185cm)",1900-20-30
Christian Colombo,CSA.dk,Denmark,"Copenhagen, Denmark","80.5"" (204cm)",1900-20-30
Josh Copeland,Elevation Fight Team,United States,"Denver, Colorado","75.0"" (191cm)",1900-20-30
JC Cottrell,N/A,"Oklahoma City, Oklahoma","Oklahoma City, Oklahoma","71.0"" (180cm)",1900-20-30
Jeff Cox,Strong Style Fight Team,United States,"Cleveland, Ohio, USA",N/A,1900-20-30
Dan Cramer,American Top Team,"Bethel, Connecticut, United States","Coconut Creek, Florida","75.0"" (191cm)",1900-20-30
Alberto Crane,N/A,United States,"Santa Fe, New Mexico, USA",N/A,1900-20-30
Marcio Cruz,Kings MMA,"Rio de Janeiro, Brazil","Tampa, Florida","82.0"" (208cm)",1900-20-30
Jay Cucciniello,Team Barnatt gym,England,"Malaga, Spain","68.0"" (173cm)",1900-20-30
Cindy Dandois,Lynx MMA,"Borgerhout, Belgium","Deurne, Belgium","70.0"" (178cm)",1900-20-30
Rodrigo de Lima,,,,,
Edilberto de Oliveira,Champion Team,Brazil,"Campo Formoso, Bahia, Brazil",N/A,1900-20-30
Jorge de Oliveira,Renovação Fight Team,Brazil,"Rio de Janeiro, Brazil","71.0"" (180cm)",1900-20-30
Tom DeBlass,Ricardo Almeida Jiu Jitsu,"New Brunswick, New Jersey, United States","Forked River, New Jersey","74.0"" (188cm)",1900-20-30
Shane del Rosario,,,,,
Nick Denis,Ronin MMA,"Ottawa, Ontario, Canada","Montreal, Quebec","70.0"" (178cm)",1900-20-30
Cameron Dollar,Pariah MMA & Fitness,"Prescott Valley, Arizona, United States","Colorado Springs, Colorado","71.5"" (182cm)",1900-20-30
Antonio Dos Santos,N/A,Brazil,"Quilmes, Buenos Aires, Argentina",N/A,1900-20-30
Derek Downey,Jeremy Horn's Elite Performance,United States,"Orem, Utah, United States",N/A,1900-20-30
Robert Drysdale,Drysdale Jiu Jitsu,"Provo, Utah, United States","Las Vegas, Nevada","78.5"" (199cm)",1900-20-30
Milana Dudieva,Peresvet FT,"Vladikavkaz, North Ossetia, Russia","Vladikavkaz, North Ossetia, Russia","61.5"" (156cm)",1900-20-30
Alexis Dufresne,Top Rank Fitness,"Temecula, California, United States","Temecula, California","68.5"" (174cm)",1900-20-30
Luiz Dutra,Renovação Fight Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","71.5"" (182cm)",1900-20-30
Cody East,N/A,United States,"Los Lunas, New Mexico","77.0"" (196cm)",1900-20-30
Abdul-Kerim Edilov,Akhmat Fight Club,"Grozny, Russia","Moscow, Russia","78.0"" (198cm)",1900-20-30
Tom Egan,Straight Blast Gym Ireland,Ireland,England,N/A,1900-20-30
Jon Olav Einemo,Golden Glory ,"Oslo, Norway","Oslo, Norway","81.0"" (206cm)",1900-20-30
Per Eklund,Hilti NHB,Sweden,"Stockholm, Sweden",N/A,1900-20-30
Lisa Ellis,United Training Center,"Woodinville, Washington","Lacey, Washington","62.0"" (157cm)",1900-20-30
Anna Elmose,Rumble Sports,Denmark,"Copenhagen, Denmark","65.0"" (165cm)",1900-20-30
Ian Entwistle,Bulgarian Top Team,England,England,"64.0"" (163cm)",1900-20-30
Konstantin Erokhin,Krepost Fight Club,Russia,"Moscow, Russia","73.0"" (185cm)",1900-20-30
Doug Evans,N/A,"Redwood City, California","Redwood City, California",N/A,1900-20-30
Dan Evensen,N/A,Norway,Norway,N/A,1900-20-30
Maiquel Falcao,N/A,"Rio Grande Du Sol, Brazil","Pararai, Brazil","69.0"" (175cm)",1900-20-30
Brodie Farber,N/A,United States,"Grass Valley, California",N/A,1900-20-30
Kalindra Faria,Vale Top Team,"Taubate, Sao Paulo, Brazil","Taubate, Sao Paulo, Brazil","62.0"" (157cm)",1900-20-30
Kelly Faszholz,Nor-Cal Fighting Alliance,"Dallas, Texas","Santa Rosa, California","67.0"" (170cm)",1900-20-30
Josh Ferguson,All American MMA,"Louisville, Kentucky, United States","Taylorsville , Kentucky","66.0"" (168cm)",1900-20-30
Alexandre Ferreira,Chute Boxe Academy,Brazil,"Rio de Janiero, Brazil",N/A,1900-20-30
Colin Fletcher,Sunderland Fight Pit,"Sunderland, England","Sunderland, Tyne and Wear","78.0"" (198cm)",1900-20-30
Xavier Foupa-Pokam,Snake Team,France,"Paris, France",N/A,1900-20-30
Willamy Freire,Nova União,"Fortaleza, Ceara, Brazil","Fortaleza, Ceara, Brazil","70.0"" (178cm)",1900-20-30
Sheila Gaff,Energy Gym,Germany,"Eschwege, Germany","64.0"" (163cm)",1900-20-30
Dave Galera,Lakay Central Gym,"Santa Clara, California","Baguio, Philippines","72.0"" (183cm)",1900-20-30
Tom Gallicchio,Team Quest,United States,"Howell, New Jersey","75.0"" (191cm)",1900-20-30
Joey Gambino,LionSport MMA,"Port Charlotte, Florida, United States","Saugerties, New York","70.0"" (178cm)",1900-20-30
Azamat Gashimov,Jackson Wink MMA,"Dagestan, Russia","Albuquerque, New Mexico","67.0"" (170cm)",1900-20-30
Paul Georgieff,N/A,United States,"St. Paul, Minnesota, USA",N/A,1900-20-30
Brian Geraghty,Dave Strasser's Freestyle Academy of MMA,United States,"Kenosha, Wisconsin",N/A,1900-20-30
James Giboo,N/A,N/A,GB,N/A,1900-20-30
Joseph Gigliotti,N/A,"Cleveland, Ohio","Gilbert, Arizona","69.0"" (175cm)",1900-20-30
Jason Gilliam,Team Wolfpack,United States,"Muncie, Indiana",N/A,1900-20-30
Ulysses Gomez,Cobra Kai Jiu Jitsu,"Los Angeles, California, United States","Las Vegas, Nevada","68.0"" (173cm)",1900-20-30
Lewis Gonzalez,MMA Gold Fight Team,United States,"Turlock, California","67.0"" (170cm)",1900-20-30
Pearl Gonzalez,10th Planet Jiu Jitsu San Diego,"Chicago, Illinois, United States","San Diego, California","68.0"" (173cm)",1900-20-30
Tim Gorman,Des Moines MMA Academy,"Winterset, Iowa","Des Moines, Iowa","68.5"" (174cm)",1900-20-30
Chase Gormley,Reign MMA,United States,"Los Angeles, California","77.0"" (196cm)",1900-20-30
Renzo Gracie,Renzo Gracie Academy,"Rio de Janeiro, Brazil","New York City, New York",N/A,1900-20-30
Rolles Gracie,Renzo Gracie Academy,Brazil,"New York City, New York",N/A,1900-20-30
Neil Grove,N/A,"Klerksdorp, South Africa","London, England","78.0"" (198cm)",1900-20-30
Nandor Guelmino,Gym 23,Austria,"Vienna, Austria","76.5"" (194cm)",1900-20-30
Leonardo Guimaraes,Gracie Barra Bahia,Brazil,"Salvador, Bahia, Brazil","73.0"" (185cm)",1900-20-30
Andre Gusmao,Renzo Gracie Academy,"Goiânia, Brazil","New York, New York",N/A,1900-20-30
Horacio Gutierrez,Chicago Fight Team,"Guadalajara, Jalisco, Mexico","Chicago, Illinois","69.0"" (175cm)",1900-20-30
John Halverson,N/A,United States,"Waukee, Iowa",N/A,1900-20-30
James Hammortree,USA Martial Arts,"Chicago, Illinois","Ocala, Florida",N/A,1900-20-30
Collin Hart,Nor-Cal Fighting Alliance,United States,"Santa Rosa, California","76.0"" (193cm)",1900-20-30
Hayder Hassan,American Top Team,"Coconut Creek, Florida","Coconut Creek, Florida","71.5"" (182cm)",1900-20-30
Tommy Hayden,Bangkok Fight Lab,"Cincinnati, Ohio, United States","Cincinnati, Ohio","72.0"" (183cm)",1900-20-30
Josh Haynes,Team Quest Portland,United States,"Medford, Oregon",N/A,1900-20-30
Chris Heatherly,Fit or Fight Gym,"Cahokia, Illinois","Cahokia, Illinois","68.5"" (174cm)",1900-20-30
Delson Heleno,Pitbull,"Rio de Janeiro, Rio de Janeiro, Brazil","Teresopolis, Rio de Janeiro, Brazil","72.0"" (183cm)",1900-20-30
Josh Hendricks,N/A,"Mansfield, Ohio","Mansfield, Ohio",N/A,1900-20-30
Cory Hendricks,Syndicate MMA,United States,Washington State,"77.0"" (196cm)",1900-20-30
Ramiro Hernandez,Miletich Fighting Systems,"Muscatine, Iowa","Bettendorf, Iowa","69.5"" (177cm)",1900-20-30
Richie Hightower,N/A,United States,"Phoenix, Arizona, USA",N/A,1900-20-30
Kwan Ho Kwak,Korean Top Team,"Namyangju, Gyeonggi, South Korea","Seoul, South Korea","70.0"" (178cm)",1900-20-30
Sam Hoger,Hoger MMA,United States,"Eagle River, Alaska",N/A,1900-20-30
Chris Holdsworth,Team Alpha Male,United States,"Las Vegas, Nevada","71.0"" (180cm)",1900-20-30
Roger Hollett,Jackson Wink MMA,"Halifax, Nova Scotia, Canada","Albuquerque, New Mexico","73.0"" (185cm)",1900-20-30
Rex Holman,N/A,United States,"Columbus, Ohio",N/A,1900-20-30
Mark Holst,Ottawa Academy of Martial Arts,"Ottawa, Ontario, Canada","Ottawa, Ontario",N/A,1900-20-30
Matt Horwich,10th Planet Jiu Jitsu,"Pasadena, California, United States","Hollywood, California","71.0"" (180cm)",1900-20-30
Brian Houston,Disorderly Conduct,"Riverdale, Georgia","Omaha, Nebraska","78.0"" (198cm)",1900-20-30
Shane Howell,The Forge MMA,United States,"Oklahoma City, Oklahoma","69.5"" (177cm)",1900-20-30
Brad Imes,N/A,United States,"Sacramento, California",N/A,1900-20-30
Chris Indich,Beston Gracie,Australia,"Perth, Western Australia","73.0"" (185cm)",1900-20-30
Guto Inocente,Blackzilians,"Brasilia, Federal District, Brazil","Delray Beach, Florida","78.0"" (198cm)",1900-20-30
Yoislandy Izquierdo,Gym-O,"Havana, Cuba","Charlotte, North Carolina","72.5"" (184cm)",1900-20-30
Mike Jackson,4oz. Fight Club,United States,"Houston, Texas","74.0"" (188cm)",1900-20-30
Brock Jardine,The Pit Elevated Fight Team,"Ontario, Canada","Orem, Utah","73.0"" (185cm)",1900-20-30
Chan-Mi Jeon,Kukje Gym/Ryeong Promotions,"Seoul, South Korea","Seoul, South Korea","67.0"" (170cm)",1900-20-30
Maciej Jewtuszko,Berserker's Team,Poland,"Szczecin, Poland",N/A,1900-20-30
Dashon Johnson,Team Xplode MMA,United States,"Escondido, California","70.5"" (179cm)",1900-20-30
Marcus Jones,N/A,United States,"Tampa, Florida",N/A,1900-20-30
Justin Jones,Victory MMA,United States,"San Diego, California","78.5"" (199cm)",1900-20-30
Scott Junk,MMA Development,United States,"Kailua, Hawaii",N/A,1900-20-30
Emily Kagan,N/A,"Bangor, Maine","Albuquerque, New Mexico","65.5"" (166cm)",1900-20-30
