fighter_name,Height,Weight,Reach,Stance,DOB
Papy Abedi,"5' 11""",185 lbs.,"74.0"" (188cm)",Southpaw,"Jun 30, 1978"
Ricardo Abreu,"5' 11""",185 lbs.,"73.0"" (185cm)",Orthodox,"Apr 27, 1984"
Razak Al-Hassan,"6' 2""",205 lbs.,"72.0"" (183cm)",Orthodox,"May 14, 1982"
Ericka Almeida,"5' 6""",115 lbs.,"69.0"" (175cm)",Orthodox,"Mar 05, 1989"
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988"
Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973"
Azunna Anyanwu,"6' 1""",251 lbs.,"71.0"" (180cm)",Orthodox,"Aug 05, 1981"
Cesar Arzamendia,"5' 11""",155 lbs.,"70.5"" (179cm)",Orthodox,"Jan 31, 1991"
Pat Audinwood,"6' 0""",155 lbs.,"74.0"" (188cm)",Orthodox,"Apr 16, 1986"
Chris Avila,"5' 10""",145 lbs.,"72.5"" (184cm)",Orthodox,"Jan 16, 1993"
Niklas Backstrom,"6' 1""",145 lbs.,"73.0"" (185cm)",Orthodox,"Aug 22, 1989"
Izabela Badurek,"5' 5""",115 lbs.,"65.0"" (165cm)",Orthodox,"Jul 11, 1991"
Mehdi Baghdad,"6' 1""",155 lbs.,"75.0"" (191cm)",Orthodox,"Apr 13, 1985"
Marcin Bandel,"5' 10""",155 lbs.,"70.0"" (178cm)",Orthodox,"Oct 10, 1989"
David Baron,"5' 6""",155 lbs.,,Switch,"Feb 15, 1973"
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,"Dec 23, 1980"
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976"
Stephen Bass,"5' 9""",145 lbs.,"73.0"" (185cm)",Orthodox,"Nov 14, 1982"
Shayna Baszler,"5' 7""",135 lbs.,"67.5"" (171cm)",Orthodox,"Aug 08, 1980"
Michel Batista,"6' 3""",260 lbs.,"80.5"" (204cm)",Orthodox,"Apr 20, 1984"
Keith Berish,"6' 0""",205 lbs.,"73.5"" (187cm)",Orthodox,"Nov 14, 1985"
Allen Berube,"5' 8""",155 lbs.,"76.0"" (193cm)",Orthodox,"Aug 25, 1974"
Jason Black,"5' 8""",155 lbs.,,Orthodox,"Jul 15, 1972"
Tom Blackledge,"6' 0""",205 lbs.,"77.0"" (196cm)",Orthodox,"Aug 19, 1980"
Byron Bloodworth,"5' 8""",135 lbs.,"72.0"" (183cm)",Orthodox,"Aug 16, 1983"
Jesse Bongfeldt,"6' 0""",185 lbs.,"72.0"" (183cm)",Orthodox,"Aug 28, 1980"
Paul Bradley,"5' 9""",170 lbs.,"72.0"" (183cm)",Orthodox,"Jun 13, 1983"
Joe Brammer,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983"
Todd Brown,"5' 11""",205 lbs.,"74.0"" (188cm)",Orthodox,"Dec 13, 1976"
Humberto Brown Morrison,"5' 10""",145 lbs.,"71.0"" (180cm)",Orthodox,"Nov 03, 1984"
Junie Browning,"5' 9""",155 lbs.,"72.0"" (183cm)",Orthodox,"May 12, 1984"
Jules Bruchez,"6' 0""",205 lbs.,,Southpaw,"Aug 16, 1977"
Steve Bruno,"5' 10""",170 lbs.,,Orthodox,"Nov 03, 1981"
Fernando Bruno,"5' 6""",145 lbs.,"71.0"" (180cm)",Southpaw,"Feb 24, 1982"
Josh Bryant,"5' 10""",185 lbs.,,Orthodox,"Apr 23, 1980"
Nah-Shon Burrell,"5' 11""",170 lbs.,"71.0"" (180cm)",Orthodox,"Feb 05, 1990"
Bubba Bush,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,"Jul 24, 1985"
Wagner Campos,"5' 6""",145 lbs.,"66.0"" (168cm)",Southpaw,"Jul 31, 1981"
Cain Carrizosa,"5' 8""",155 lbs.,"74.0"" (188cm)",Orthodox,"Jul 22, 1986"
Luke Caudillo,"5' 7""",155 lbs.,,Orthodox,"Nov 30, 1980"
Adam Cella,"6' 2""",170 lbs.,"73.5"" (187cm)",Orthodox,"Jun 26, 1985"
Albert Cheng,"5' 11""",170 lbs.,"70.5"" (179cm)",Orthodox,"Feb 07, 1985"
Sako Chivitchian,"5' 11""",155 lbs.,,Orthodox,"Mar 11, 1984"
Will Chope,"6' 4""",145 lbs.,"76.0"" (193cm)",Switch,"Sep 08, 1990"
Anthony Christodoulou,"5' 9""",155 lbs.,"72.0"" (183cm)",Orthodox,"Jul 30, 1987"
Mike Ciesnolevicz,"6' 0""",235 lbs.,"74.0"" (188cm)",Orthodox,"Oct 28, 1979"
Josh Clopton,"5' 6""",145 lbs.,"68.0"" (173cm)",Orthodox,"Jul 11, 1981"
Brian Cobb,"5' 11""",155 lbs.,"72.0"" (183cm)",Orthodox,"Mar 9, 1980"
John Cofer,"5' 9""",155 lbs.,"73.0"" (185cm)",Southpaw,"Apr 29, 1984"
Christian Colombo,"6' 5""",265 lbs.,"80.5"" (204cm)",Orthodox,"Jul 01, 1980"
Josh Copeland,"6' 1""",265 lbs.,"75.0"" (191cm)",Orthodox,"Oct 20, 1982"
JC Cottrell,"5' 9""",155 lbs.,"71.0"" (180cm)",Orthodox,"Nov 04, 1989"
Jeff Cox,"5' 10""",155 lbs.,,Orthodox,"Aug 02, 1968"
Dan Cramer,"6' 2""",170 lbs.,"75.0"" (191cm)",Orthodox,"Oct 31, 1985"
Alberto Crane,"5' 5""",155 lbs.,,Orthodox,"Jul 14, 1976"
Marcio Cruz,"6' 4""",232 lbs.,"82.0"" (208cm)",Orthodox,"Apr 24, 1978"
Jay Cucciniello,"5' 7""",155 lbs.,"68.0"" (173cm)",Orthodox,"Jul 23, 1986"
Cindy Dandois,"5' 7""",135 lbs.,"70.0"" (178cm)",Orthodox,"Oct 26, 1984"
Rodrigo de Lima,"5' 7""",155 lbs.,,Orthodox,"Mar 12, 1991"
Edilberto de Oliveira,"6' 0""",170 lbs.,,Orthodox,"Nov 22, 1982"
Jorge de Oliveira,"5' 8""",155 lbs.,"71.0"" (180cm)",Orthodox,"Jan 22, 1980"
Tom DeBlass,"6' 0""",185 lbs.,"74.0"" (188cm)",Orthodox,"May 14, 1982"
Shane del Rosario,"6' 4""",250 lbs.,,Southpaw,"Sep 23, 1983"
Nick Denis,"5' 7""",135 lbs.,"70.0"" (178cm)",Orthodox,"Oct 11, 1983"
Cameron Dollar,"5' 11""",155 lbs.,"71.5"" (182cm)",Orthodox,"May 12, 1987"
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,"Jul 21, 1988"
Derek Downey,"6' 1""",185 lbs.,,Orthodox,"Apr 27, 1980"
Robert Drysdale,"6' 3""",205 lbs.,"78.5"" (199cm)",Orthodox,"Oct 05, 1981"
Milana Dudieva,"5' 3""",135 lbs.,"61.5"" (156cm)",Orthodox,"Aug 04, 1989"
Alexis Dufresne,"5' 9""",135 lbs.,"68.5"" (174cm)",Orthodox,"Aug 31, 1990"
Luiz Dutra,"5' 11""",170 lbs.,"71.5"" (182cm)",Orthodox,"May 06, 1982"
Cody East,"6' 3""",245 lbs.,"77.0"" (196cm)",Orthodox,"Jun 29, 1988"
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78.0"" (198cm)",Orthodox,"Nov 25, 1991"
Tom Egan,"5' 11""",170 lbs.,,Orthodox,"Jan 1, 1989"
Jon Olav Einemo,"6' 6""",253 lbs.,"81.0"" (206cm)",Orthodox,"Dec 10, 1975"
Per Eklund,"5' 10""",155 lbs.,,Orthodox,"Nov 12, 1980"
Lisa Ellis,"5' 4""",115 lbs.,"62.0"" (157cm)",Orthodox,"Nov 15, 1982"
Anna Elmose,"5' 3""",115 lbs.,"65.0"" (165cm)",Orthodox,"Oct 06, 1984"
Ian Entwistle,"5' 5""",135 lbs.,"64.0"" (163cm)",Orthodox,"Nov 19, 1986"
Konstantin Erokhin,"5' 11""",230 lbs.,"73.0"" (185cm)",Orthodox,"Jan 31, 1983"
Doug Evans,"5' 9""",155 lbs.,,Orthodox,"Oct 10, 1980"
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,"Jun 01, 1974"
Maiquel Falcao,"5' 11""",185 lbs.,"69.0"" (175cm)",Orthodox,"Mar 08, 1981"
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980"
Kalindra Faria,"5' 7""",125 lbs.,"62.0"" (157cm)",Switch,"Jul 23, 1986"
Kelly Faszholz,"5' 8""",135 lbs.,"67.0"" (170cm)",Orthodox,"Apr 09, 1985"
Josh Ferguson,"5' 5""",125 lbs.,"66.0"" (168cm)",Orthodox,"May 13, 1988"
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979"
Colin Fletcher,"6' 2""",155 lbs.,"78.0"" (198cm)",Orthodox,"Jan 08, 1983"
Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,"Jul 03, 1982"
Willamy Freire,"5' 8""",155 lbs.,"70.0"" (178cm)",,"Jul 28, 1987"
Sheila Gaff,"5' 5""",135 lbs.,"64.0"" (163cm)",Orthodox,"Dec 29, 1989"
Dave Galera,"5' 11""",135 lbs.,"72.0"" (183cm)",Orthodox,"Jan 12, 1978"
Tom Gallicchio,"5' 10""",170 lbs.,"75.0"" (191cm)",Southpaw,"Sep 23, 1986"
Joey Gambino,"5' 7""",145 lbs.,"70.0"" (178cm)",Orthodox,"Oct 26, 1988"
Azamat Gashimov,"5' 6""",125 lbs.,"67.0"" (170cm)",Orthodox,"Apr 07, 1990"
Paul Georgieff,"6' 2""",170 lbs.,,Orthodox,"Sep 22, 1982"
