fighter_name,Height,Weight,Reach,Stance,DOB,fighter_name
0,"6' 5""",251 lbs.,,,"Aug 07, 1990",
1,,231 lbs.,,,"Nov 17, 1990",
2,,155 lbs.,,,"Jul 13, 1978",Tom Aaron
3,"5' 11""",155 lbs.,,Orthodox,"Jul 03, 1983",Danny Abbadi
4,"6' 0""",265 lbs.,,Switch,,David Abbott
5,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",Shamil Abdurakhimov
6,"5' 6""",145 lbs.,,Orthodox,,Hiroyuki Abe
7,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",Daichi Abe
8,"5' 11""",185 lbs.,,Southpaw,"Jun 30, 1978",Papy Abedi
9,"5' 11""",185 lbs.,,Orthodox,"Apr 27, 1984",Ricardo Abreu
10,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",Klidson Abreu
11,"5' 8""",180 lbs.,,Orthodox,"Dec 27, 1977",Daniel Acacio
12,"6' 0""",225 lbs.,,Southpaw,,Scott Adams
13,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",Juan Adams
14,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",Anthony Adams
15,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",Zarrukh Adashev
16,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",Israel Adesanya
17,"6' 3""",225 lbs.,,Orthodox,"Apr 26, 1965",Sam Adkins
18,"5' 8""",155 lbs.,,Orthodox,"Jan 13, 1979",Nick Agallar
19,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",Mariya Agapova
20,"5' 10""",170 lbs.,,Orthodox,,Marcelo Aguiar
21,"6' 0""",185 lbs.,,,"Feb 10, 1988",Fabio Aguiar
22,"5' 10""",185 lbs.,,,,Edwin Aguilar
23,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",Jessica Aguilar
24,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",Kevin Aguilar
25,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",Christian Aguilera
26,"5' 9""",155 lbs.,,Orthodox,,Mike Aina
27,"5' 4""",135 lbs.,,Southpaw,"Jul 27, 1974",Hitomi Akano
28,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",Omari Akhmedov
29,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",Yoshihiro Akiyama
30,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",Rostem Akman
31,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982",Razak Al-Hassan
32,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",Mostapha Al-Turk
33,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",Herdem Alacabek
34,"5' 6""",135 lbs.,,,,Javi Alanis
35,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",Heili Alateng
36,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",Amir Albazi
37,,225 lbs.,,,,Brett Albee
38,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",John Albert
39,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",Junior Albini
40,"5' 10""",188 lbs.,,Orthodox,,Wes Albritton
41,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",Aleksandra Albu
42,,185 lbs.,,Orthodox,,Israel Albuquerque
43,,,,,,Juan Alcain
44,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",Iuri Alcantara
45,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",Ildemar Alcantara
46,"5' 3""",145 lbs.,,,"Jun 10, 1970",Alfonso Alcarez
47,"6' 1""",250 lbs.,,Orthodox,"Aug 25, 1977",Gilbert Aldana
48,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",Irene Aldana
49,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",Hector Aldana
50,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",Jose Aldo
51,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",JJ Aldrich
52,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",Jim Alers
53,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",John Alessio
54,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",Houston Alexander
55,"5' 9""",155 lbs.,,Orthodox,"Sep 25, 1977",Kenneth Alexander
56,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",Marcio Alexandre Junior
57,"6' 2""",170 lbs.,,Orthodox,"Aug 06, 1974",Olaf Alfonso
58,"5' 8""",145 lbs.,,,"May 09, 1983",Pablo Alfonso
59,,,,,,Levi Alford
60,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",Bill Algeo
61,"5' 10""",199 lbs.,,Orthodox,,Royce Alger
62,"6' 3""",250 lbs.,,,"Jun 10, 1984",Amir Aliakbari
63,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",Sultan Aliev
64,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",John Allan
65,"6' 2""",205 lbs.,,Open Stance,"Jan 13, 1967",George Allen
