Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,BookMaker,1181509210000,-355,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1181608210000,-365,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182249012000,-380,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182312010000,-360,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182477613000,-380,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182603609000,-385,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182609008000,-395,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182655810000,-355,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182659411000,-355,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182661211000,-330,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182663009000,-340,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,BookMaker,1182670209000,-350,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,SportBet,1181169012000,-490,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,SportBet,1182306608000,-490,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
B.J. Penn,SportBet,1182312009000,-345,B.J. Penn,Jens Pulver,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-5-finale-3
