Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1251305113000,-270,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1251644411000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1253034013000,-270,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1253407513000,-250,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1253431813000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1253709919000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1254943828000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1255027517000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1255348811000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1256562013000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1257349522000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1258288221000,-275,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1258544712000,-270,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259172032000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259203524000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259219715000,-320,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259302524000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259414128000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259631914000,-275,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259643618000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259750716000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259766921000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259830828000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259831721000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259842512000,-310,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1259879424000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260252019000,-275,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260275434000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260351022000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260530117000,-310,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260533713000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260621019000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260624616000,-275,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,5Dimes,1260654326000,-260,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251252024000,-190,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251255625000,-220,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251257422000,-235,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251258326000,-240,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251262820000,-245,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251417639000,-255,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1251946829000,-275,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1256589022000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1256785217000,-282,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1257674423000,-285,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1259173831000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1259875822000,-280,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260387926000,-285,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260559833000,-290,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260587732000,-300,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260594035000,-302,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260596732000,-305,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
B.J. Penn,BookMaker,1260638127000,-315,B.J. Penn,Diego Sanchez,even,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
