Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1273134622000,-365,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1273671916000,-340,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1273778128000,-350,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1273907719000,-340,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1275626729000,-345,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1275724818000,-330,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1277159418000,-320,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1277265627000,-325,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1279560634000,-310,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1279705569000,-320,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1280814328000,-325,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
B.J. Penn,5Dimes,1281002433000,-320,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
