Bet,betsite,dates,odds,fighter1,fighter2,class,url
Nate Marquardt,5Dimes,1288367426000,-230,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1288603521000,-225,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1288695945000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1288784723000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289023833000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289109930000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289556925000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289560826000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289565027000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289588123000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289665238000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289680530000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,5Dimes,1289683529000,-190,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289058658000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289152231000,-190,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289207125000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289374530000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289577640000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289590837000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289633436000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289668840000,-207,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289669443000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,BookMaker,1289685032000,-195,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1288367457000,-230,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1288603535000,-225,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1288695963000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1288784741000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289023862000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289109953000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289556948000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289560854000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289564748000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289588151000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289665269000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289680554000,-200,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportBet,1289683556000,-190,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Bovada,1289340936000,-250,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Bovada,1289344835000,-260,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Bovada,1289399428000,-250,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Bovada,1289482228000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Bovada,1289667936000,-250,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Sportsbook,1289342750000,-215,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288371952000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288374342000,-212,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288382448000,-211,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288409143000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288533943000,-209,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288631736000,-206,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288850440000,-205,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1288899650000,-201,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289073344000,-195,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289358766000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289564446000,-223,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289592947000,-220,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289669147000,-210,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289678143000,-216,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289678751000,-211,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289681149000,-205,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289681741000,-206,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289683843000,-216,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289685656000,-213,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,Pinnacle,1289685952000,-211,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportsInt.,1288239642000,-208,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportsInt.,1288858837000,-227,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Nate Marquardt,SportsInt.,1289683840000,-238,Nate Marquardt,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1288367426000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1288603521000,+185,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1288695945000,+180,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1288784723000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289023833000,+180,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289109930000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289556925000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289560826000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289565027000,+185,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289588123000,+190,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289665238000,+195,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289680530000,+185,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,5Dimes,1289683529000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289058658000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289152231000,+150,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289207125000,+160,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289374530000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289577640000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289590837000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289633436000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289668840000,+167,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289669443000,+160,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,BookMaker,1289685032000,+155,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1288367457000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1288603535000,+185,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1288695963000,+180,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1288784741000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1289023862000,+180,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1289109953000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1289556948000,+170,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Yushin Okami,SportBet,1289560854000,+175,Nate Marquardt,Yushin Okami,odd,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
