Bet,betsite,dates,odds,fighter1,fighter2,class,url
Georges St-Pierre,5Dimes,1279639827000,-475,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1279789252000,-470,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1279822558000,-450,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1279879240000,-450,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1282036524000,-440,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1286883927000,-420,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1287231347000,-430,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1288604421000,-440,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1288696226000,-430,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1288712133000,-445,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1288785028000,-440,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1289715031000,-450,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1290510925000,-460,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1290596123000,-450,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1291824623000,-440,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1291889422000,-435,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1291914324000,-450,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1291981223000,-445,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1292076085000,-420,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1292083225000,-415,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1292095826000,-460,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
Georges St-Pierre,5Dimes,1292119523000,-500,Georges St-Pierre,Josh Koscheck,even,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
