Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frankie Edgar,5Dimes,1311026103000,-130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1311037503000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1311333903000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1311423903000,-155,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1312970403000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1315512603000,-155,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1315565403000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317554404000,-155,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317645303000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317733803000,-145,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317787505000,-150,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317828003000,-140,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317828603000,-145,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317845103000,-135,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317906603000,-130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1317964202000,-140,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1318013103000,-130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1318079103000,-125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1318099804000,-130,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1318106404000,-125,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
Frankie Edgar,5Dimes,1318110303000,-115,Frankie Edgar,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
