Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1317928503000,-400,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1317938703000,-350,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1317950702000,-420,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1318392303000,-460,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1318430403000,-420,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1320149103000,-440,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1320861903000,-460,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321036203000,-475,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321245003000,-490,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321397404000,-465,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321400104000,-450,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321401603000,-440,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321641603000,-460,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Jon Jones,5Dimes,1321766103000,-450,Jon Jones,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
