Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rich Franklin,5Dimes,1338664804000,-125,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1338675903000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1338695404000,-155,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1338740404000,-170,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1338744003000,-160,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1338978303000,-165,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339078803000,-155,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339086603000,-170,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339323903000,-165,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339465502000,-150,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339496103000,-155,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1339800003000,-175,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1340052303000,-175,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1340091003000,-170,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
Rich Franklin,5Dimes,1340091603000,-165,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
