Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carlos Condit,5Dimes,1338849903000,+310,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1339219503000,+300,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1339378802000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1340444403000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1341082804000,+310,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1341083103000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1344814503000,+260,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1345051803000,+290,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1347880203000,+300,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352193304000,+285,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352628305000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352724903000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352753704000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352899209000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1352916303000,+260,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353004504000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353078904000,+265,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353105306000,+285,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353107104000,+290,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353154804000,+285,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353179705000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353184505000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353197703000,+290,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353200113000,+300,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353205805000,+290,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353210905000,+300,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353211507000,+295,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353211804000,+290,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353212403000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353213003000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353213604000,+260,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,5Dimes,1353214505000,+270,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,BetDSI,1345367410000,+265,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,BetDSI,1351008909000,+275,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,BetDSI,1352698809000,+265,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
Carlos Condit,BetDSI,1353088513000,+280,Carlos Condit,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
