Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chael Sonnen,5Dimes,1352227506000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1352917205000,+600,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1358808904000,+700,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1365083106000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1365084606000,+550,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1365876005000,+575,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366329904000,+600,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366635605000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366711504000,+625,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366747505000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366832105000,+700,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366982105000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1366982405000,+725,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1367094607000,+700,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1367096706000,+725,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,5Dimes,1367121306000,+685,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1350431109000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1351554010000,+605,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1351699214000,+600,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1363451712000,+625,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1363824011000,+600,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1366053610000,+575,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1366740312000,+625,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1366951511000,+660,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1366952712000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1367009715000,+665,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1367089515000,+700,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1367097074000,+725,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BetDSI,1367115619000,+800,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1350431112000,+675,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1351554313000,+605,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1351699219000,+625,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1366053312000,+600,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1366740317000,+650,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1366951516000,+660,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1367009720000,+675,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1367089222000,+700,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,BookMaker,1367096720000,+750,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1352227541000,+729,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1352916941000,+667,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1358808931000,+760,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1365083156000,+702,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1365084636000,+587,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1365875741000,+616,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366329930000,+645,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366635635000,+702,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366711523000,+674,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366747526000,+702,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366832141000,+760,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1366982140000,+702,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1367094656000,+685,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1367096745000,+702,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,SportBet,1367121175000,+668,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,Bovada,1350422706000,+425,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
Chael Sonnen,Bovada,1350433505000,+450,Chael Sonnen,Jon Jones,even,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
