Bet,betsite,dates,odds,fighter1,fighter2,class,url
Ali Bagautinov,5Dimes,1399766946000,+305,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1399952884000,+350,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1401828852000,+320,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402038186000,+335,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402210626000,+350,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402216389000,+400,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402216746000,+425,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402245545000,+425,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402343109000,+450,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402511766000,+475,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402540567000,+500,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402601407000,+525,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402668365000,+540,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402762326000,+527,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402767186000,+560,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402776725000,+505,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402784465000,+540,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,5Dimes,1402789324000,+560,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402327267000,+410,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402329785000,+405,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402332486000,+400,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402341310000,+410,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402343647000,+420,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402348147000,+430,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402353726000,+435,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402536607000,+455,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402556587000,+475,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402603386000,+500,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402696268000,+500,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402757826000,+505,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402764306000,+490,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402767907000,+500,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402779426000,+525,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402791486000,+525,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402796166000,+525,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BetDSI,1402804086000,+525,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BookMaker,1402329785000,+405,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
Ali Bagautinov,BookMaker,1402340946000,+415,Ali Bagautinov,Demetrious Johnson,even,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
