Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1427400546000,-505,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1427401819000,-600,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1427442847000,-750,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1428328986000,-800,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1428624187000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429536246000,-1000,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429887248000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429891028000,-840,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429914071000,-800,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429923608000,-825,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429925948000,-785,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429968249000,-810,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429968428000,-800,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1429993447000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1430011986000,-870,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1430012346000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,5Dimes,1430021526000,-980,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429076706000,-840,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429454887000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429466227000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429506545000,-950,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429506725000,-925,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429582868000,-1000,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429951688000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429989848000,-1300,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BetDSI,1429998309000,-1500,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1429076706000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1429466227000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1429506726000,-925,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1429951868000,-900,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1429998310000,-985,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1430000289000,-988,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1430001370000,-985,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1430004788000,-983,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,BookMaker,1430012711000,-809,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1427400548000,-480,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1427401821000,-570,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1427442848000,-705,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1428328988000,-755,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1428624189000,-855,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1429536248000,-948,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1429887250000,-855,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
Demetrious Johnson,SportBet,1429914075000,-809,Demetrious Johnson,Kyoji Horiguchi,even,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
