Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,5Dimes,1183352418000,-170,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183408217000,-165,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183483816000,-155,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183615234000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183617030000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183624233000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183708827000,-140,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183748424000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183773629000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,5Dimes,1183784429000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1181509210000,-165,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183363207000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183392008000,-155,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183413609000,-160,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183426211000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183429810000,-160,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183474808000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183617013000,-140,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183618810000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183780816000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183809614000,-155,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183842015000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183843812000,-140,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183860011000,-150,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183881609000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183883412000,-155,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183885211000,-145,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
Anderson Silva,BookMaker,1183888813000,-155,Anderson Silva,Nate Marquardt,even,https://www.bestfightodds.com/search?query=UFC%2073%3A%20Stacked
