Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brock Lesnar,5Dimes,1220460028000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220466030000,+100,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220520031000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220522431000,+100,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220553632000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220728853000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220961618000,-125,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1220998826000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1221132021000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1221219640000,-105,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1221409224000,-105,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1222000823000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1222405228000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1222698016000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1223037628000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1223984422000,-130,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1224676827000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1225390822000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1225466434000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226143221000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226270418000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226472022000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226509218000,-125,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226584817000,-130,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226614823000,-135,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226655616000,-140,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226755221000,-135,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,5Dimes,1226794819000,-145,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1220550093000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1220745703000,-110,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1221589315000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1225324955000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1225342986000,-125,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1225369330000,-135,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1225665696000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1225849293000,-125,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226287269000,-115,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226325652000,-120,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226533838000,-125,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226540520000,-130,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226595772000,-135,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226610219000,-165,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226611307000,-160,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226612648000,-155,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226615039000,-150,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Brock Lesnar,BookMaker,1226683397000,-160,Brock Lesnar,Randy Couture,even,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
