Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1229299210000,+140,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229300410000,+130,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229307608000,+165,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229308808000,+145,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229314813000,+165,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229316011000,+175,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229414408000,+170,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229439609000,+160,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229528413000,+170,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229529611000,+170,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1229965210000,+150,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1230116408000,+155,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1230663613000,+150,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
B.J. Penn,5Dimes,1230724807000,+160,B.J. Penn,Georges St-Pierre,even,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
