Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Rogerio Nogueira,5Dimes,1478569547000,+250,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1478813587000,+300,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479060910000,+275,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479061090000,+290,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479417668000,+305,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479485177000,+310,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479491646000,+300,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479491827000,+315,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479567433000,+320,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479581646000,+315,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479591188000,+305,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479597307000,+275,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479617467000,+285,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479617828000,+295,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,5Dimes,1479618005000,+280,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479082684000,+280,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479360967000,+270,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479361148000,+268,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479445395000,+280,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479597489000,+260,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479599826000,+261,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479601088000,+263,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479601278000,+265,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479612246000,+264,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
Antonio Rogerio Nogueira,BetDSI,1479615127000,+263,Antonio Rogerio Nogueira,Ryan Bader,even,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
