Bet,betsite,dates,odds,fighter1,fighter2,class,url
Derek Brunson,5Dimes,1594131972000,+180,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594159694000,+195,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594393566000,+205,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594648090000,+210,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594661407000,+225,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594769290000,+220,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1594927088000,+225,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595273651000,+235,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595347570000,+230,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595536688000,+240,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595538853000,+250,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595793729000,+265,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595810167000,+275,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595829367000,+270,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595873770000,+285,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595893926000,+270,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1595970125000,+260,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1596000125000,+255,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1596045378000,+270,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1596127207000,+275,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
Derek Brunson,5Dimes,1596130569000,+280,Derek Brunson,Edmen Shahbazyan,even,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
