Bet,betsite,dates,odds,fighter1,fighter2,class,url
Josh Neer,5Dimes,1216308020000,+130,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1216310418000,+140,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1216737609000,+145,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1217157608000,+150,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1217167210000,+160,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1217626813000,+140,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1217684414000,+135,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1217710816000,+140,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1218138011000,+150,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1219982495000,+155,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1220185210000,+160,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1220276409000,+155,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1220820012000,+145,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1220874008000,+150,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1220901614000,+155,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221130809000,+160,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221630012000,+170,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221678013000,+175,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221687613000,+180,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221692416000,+185,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,5Dimes,1221696011000,+190,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,BookMaker,1217086866000,+165,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,BookMaker,1217538094000,+150,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,BookMaker,1217625660000,+135,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Josh Neer,BookMaker,1217626866000,+125,Josh Neer,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
