Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jack Hermansson,5Dimes,1565210169000,-210,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565211428000,-230,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565213949000,-190,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565231949000,-230,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565544968000,-245,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565657471000,-225,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1565676729000,-205,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1566105491000,-215,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1566181449000,-195,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1566257772000,-215,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1566742149000,-225,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1566920889000,-240,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1567698128000,-235,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1568855353000,-230,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1568923572000,-235,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569000614000,-240,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569170712000,-245,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569244158000,-240,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569330551000,-235,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569418212000,-230,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569448451000,-240,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569535392000,-245,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569599473000,-260,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569599837000,-250,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569630253000,-260,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569651673000,-250,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569677776000,-270,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569702970000,-265,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,5Dimes,1569703690000,-275,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,BetDSI,1568512992000,-238,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,BetDSI,1568516590000,-244,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
Jack Hermansson,BetDSI,1568674090000,-278,Jack Hermansson,Jared Cannonier,even,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
