Bet,betsite,dates,odds,fighter1,fighter2,class,url
Derrick Lewis,5Dimes,1486232111000,-115,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486248666000,-145,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486276565000,-140,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486322464000,-135,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486415886000,-140,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486585807000,-130,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1486593545000,-125,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487039066000,-115,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487170265000,-110,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487343246000,-115,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487528482000,-110,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487529904000,-115,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487538734000,-110,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487549894000,-105,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487556554000,-110,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
Derrick Lewis,5Dimes,1487561234000,-105,Derrick Lewis,Travis Browne,even,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
